,Importance Value,Regions,Network Connection,Network Connection2
0,0.0,R_V1 | R_MST,Visual1 | Visual2,
30134,0.0,R_i6-8 | L_PF,Frontopariet | Cingulo-Oper,
30135,0.0,R_i6-8 | L_PFm,Frontopariet | Frontopariet,
30136,0.0,R_i6-8 | L_PGi,Frontopariet | Posterior-Mu,
30137,0.0,R_i6-8 | L_PGs,Frontopariet | Posterior-Mu,
30138,0.0,R_i6-8 | L_V6A,Frontopariet | Visual2,
30139,0.0,R_i6-8 | L_VMV1,Frontopariet | Visual2,
30140,0.001684210526315777,R_i6-8 | L_VMV3,Frontopariet | Visual2,
30141,0.0,R_i6-8 | L_PHA2,Frontopariet | Posterior-Mu,
30142,0.0,R_i6-8 | L_V4t,Frontopariet | Visual2,
30143,0.0,R_i6-8 | L_FST,Frontopariet | Visual2,
30144,0.0,R_i6-8 | L_V3CD,Frontopariet | Visual2,
30145,0.0,R_i6-8 | L_LO3,Frontopariet | Visual2,
30146,0.0,R_i6-8 | L_VMV2,Frontopariet | Visual2,
30147,0.0,R_i6-8 | L_31pd,Frontopariet | Posterior-Mu,
30148,0.0,R_i6-8 | L_31a,Frontopariet | Frontopariet,
30149,0.0,R_i6-8 | L_VVC,Frontopariet | Visual2,
30150,0.0,R_i6-8 | L_25,Frontopariet | Posterior-Mu,
30151,0.0,R_i6-8 | L_s32,Frontopariet | Posterior-Mu,
30152,0.0,R_i6-8 | L_pOFC,Frontopariet | Orbito-Affec,
30153,0.0,R_i6-8 | L_PoI1,Frontopariet | Cingulo-Oper,
30154,0.0,R_i6-8 | L_Ig,Frontopariet | Somatomotor,
30155,0.0,R_i6-8 | L_FOP5,Frontopariet | Cingulo-Oper,
30156,0.0,R_i6-8 | L_p10p,Frontopariet | Frontopariet,
30157,0.0,R_i6-8 | L_p47r,Frontopariet | Frontopariet,
30158,0.0,R_i6-8 | L_TGv,Frontopariet | Default,
30159,0.0,R_i6-8 | L_MBelt,Frontopariet | Auditory,
30160,0.0,R_i6-8 | L_LBelt,Frontopariet | Auditory,
30161,0.0,R_i6-8 | L_A4,Frontopariet | Auditory,
30162,0.0,R_i6-8 | L_STSva,Frontopariet | Posterior-Mu,
30163,0.0,R_i6-8 | L_TE1m,Frontopariet | Frontopariet,
30164,0.0,R_i6-8 | L_PI,Frontopariet | Cingulo-Oper,
30165,0.0,R_i6-8 | L_a32pr,Frontopariet | Cingulo-Oper,
30166,0.0,R_i6-8 | L_p24,Frontopariet | Cingulo-Oper,
30167,0.0,R_s6-8 | R_43,Frontopariet | Cingulo-Oper,
30168,0.0,R_s6-8 | R_OP4,Frontopariet | Somatomotor,
30169,0.0,R_s6-8 | R_OP1,Frontopariet | Somatomotor,
30170,0.0,R_s6-8 | R_OP2-3,Frontopariet | Somatomotor,
30171,0.0,R_s6-8 | R_52,Frontopariet | Auditory,
30172,0.0,R_s6-8 | R_RI,Frontopariet | Auditory,
30173,0.0,R_s6-8 | R_PFcm,Frontopariet | Cingulo-Oper,
30174,0.0,R_s6-8 | R_PoI2,Frontopariet | Cingulo-Oper,
30175,0.0,R_s6-8 | R_TA2,Frontopariet | Auditory,
30176,0.0,R_s6-8 | R_FOP4,Frontopariet | Cingulo-Oper,
30177,0.0,R_s6-8 | R_MI,Frontopariet | Cingulo-Oper,
30178,0.0,R_s6-8 | R_Pir,Frontopariet | Orbito-Affec,
30179,0.0,R_s6-8 | R_AVI,Frontopariet | Frontopariet,
30180,0.0,R_s6-8 | R_AAIC,Frontopariet | Orbito-Affec,
30181,0.0,R_s6-8 | R_FOP1,Frontopariet | Cingulo-Oper,
30182,0.0,R_s6-8 | R_FOP3,Frontopariet | Cingulo-Oper,
30183,0.0,R_s6-8 | R_FOP2,Frontopariet | Somatomotor,
30184,0.0,R_s6-8 | R_PFt,Frontopariet | Language,
30185,0.0,R_s6-8 | R_AIP,Frontopariet | Language,
30186,0.0,R_s6-8 | R_EC,Frontopariet | Posterior-Mu,
30187,0.0,R_s6-8 | R_PreS,Frontopariet | Posterior-Mu,
30188,0.0,R_s6-8 | R_H,Frontopariet | Posterior-Mu,
30189,0.0,R_s6-8 | R_ProS,Frontopariet | Visual1,
30190,0.0,R_s6-8 | R_PeEc,Frontopariet | Ventral-Mult,
30191,0.0,R_s6-8 | R_STGa,Frontopariet | Default,
30192,0.0,R_s6-8 | R_PBelt,Frontopariet | Auditory,
30193,0.0,R_s6-8 | R_A5,Frontopariet | Default,
30194,0.0,R_s6-8 | R_PHA1,Frontopariet | Posterior-Mu,
30195,0.0,R_s6-8 | R_PHA3,Frontopariet | Language,
30196,0.0,R_s6-8 | R_STSda,Frontopariet | Default,
30197,0.0,R_s6-8 | R_STSdp,Frontopariet | Default,
30198,0.0,R_s6-8 | R_STSvp,Frontopariet | Posterior-Mu,
30199,0.0,R_s6-8 | R_TGd,Frontopariet | Posterior-Mu,
30200,0.0,R_s6-8 | R_TE1a,Frontopariet | Posterior-Mu,
30201,0.0,R_s6-8 | R_TE1p,Frontopariet | Frontopariet,
30202,0.0,R_s6-8 | R_TE2a,Frontopariet | Posterior-Mu,
30203,0.0,R_s6-8 | R_TF,Frontopariet | Ventral-Mult,
30204,0.0,R_s6-8 | R_TE2p,Frontopariet | Language,
30205,0.0,R_s6-8 | R_PHT,Frontopariet | Language,
30206,0.0,R_s6-8 | R_PH,Frontopariet | Visual2,
30207,0.0,R_s6-8 | R_TPOJ1,Frontopariet | Default,
30208,0.0,R_s6-8 | R_TPOJ2,Frontopariet | Dorsal-atten,
30209,0.0,R_s6-8 | R_TPOJ3,Frontopariet | Dorsal-atten,
30210,0.0,R_s6-8 | R_DVT,Frontopariet | Visual1,
30211,0.0,R_s6-8 | R_PGp,Frontopariet | Language,
30212,0.0,R_s6-8 | R_IP2,Frontopariet | Frontopariet,
30213,0.0,R_s6-8 | R_IP1,Frontopariet | Frontopariet,
30214,0.0,R_s6-8 | R_IP0,Frontopariet | Language,
30215,0.0,R_s6-8 | R_PFop,Frontopariet | Cingulo-Oper,
30216,0.0,R_s6-8 | R_PF,Frontopariet | Cingulo-Oper,
30217,0.0,R_s6-8 | R_PFm,Frontopariet | Frontopariet,
30218,0.0,R_s6-8 | R_PGi,Frontopariet | Posterior-Mu,
30219,0.0,R_s6-8 | R_PGs,Frontopariet | Posterior-Mu,
30220,0.0,R_s6-8 | R_V6A,Frontopariet | Visual2,
30221,0.0,R_s6-8 | R_VMV1,Frontopariet | Visual2,
30222,0.0,R_s6-8 | R_VMV3,Frontopariet | Visual2,
30223,0.0,R_s6-8 | R_PHA2,Frontopariet | Posterior-Mu,
30224,0.0,R_s6-8 | R_V4t,Frontopariet | Visual2,
30225,0.0,R_s6-8 | R_FST,Frontopariet | Visual2,
30226,0.0,R_s6-8 | R_V3CD,Frontopariet | Visual2,
30227,0.0,R_s6-8 | R_LO3,Frontopariet | Visual2,
30228,0.0,R_s6-8 | R_VMV2,Frontopariet | Visual2,
30229,0.0,R_s6-8 | R_31pd,Frontopariet | Posterior-Mu,
30230,0.0,R_s6-8 | R_31a,Frontopariet | Posterior-Mu,
30231,0.0,R_s6-8 | R_VVC,Frontopariet | Visual2,
30232,0.0,R_s6-8 | R_25,Frontopariet | Posterior-Mu,
30233,0.0,R_s6-8 | R_s32,Frontopariet | Posterior-Mu,
30234,0.0,R_s6-8 | R_pOFC,Frontopariet | Orbito-Affec,
30235,0.0,R_s6-8 | R_PoI1,Frontopariet | Cingulo-Oper,
30236,0.0,R_s6-8 | R_Ig,Frontopariet | Somatomotor,
30237,0.0,R_s6-8 | R_FOP5,Frontopariet | Cingulo-Oper,
30238,0.0,R_s6-8 | R_p10p,Frontopariet | Frontopariet,
30239,0.0,R_s6-8 | R_p47r,Frontopariet | Frontopariet,
30240,0.0,R_s6-8 | R_TGv,Frontopariet | Default,
30241,0.0,R_s6-8 | R_MBelt,Frontopariet | Auditory,
30242,0.0,R_s6-8 | R_LBelt,Frontopariet | Auditory,
30243,0.0,R_s6-8 | R_A4,Frontopariet | Auditory,
30244,0.0,R_s6-8 | R_STSva,Frontopariet | Posterior-Mu,
30245,0.0,R_s6-8 | R_TE1m,Frontopariet | Posterior-Mu,
30246,0.0,R_s6-8 | R_PI,Frontopariet | Cingulo-Oper,
30247,0.0,R_s6-8 | R_a32pr,Frontopariet | Cingulo-Oper,
30248,0.0,R_s6-8 | R_p24,Frontopariet | Cingulo-Oper,
30249,0.0,R_s6-8 | L_V1,Frontopariet | Visual1,
30250,0.0,R_s6-8 | L_MST,Frontopariet | Visual2,
30251,0.0,R_s6-8 | L_V6,Frontopariet | Visual2,
30252,0.0,R_s6-8 | L_V2,Frontopariet | Visual2,
30253,0.0,R_s6-8 | L_V3,Frontopariet | Visual2,
30254,0.0,R_s6-8 | L_V4,Frontopariet | Visual2,
30255,0.0,R_s6-8 | L_V8,Frontopariet | Visual2,
30256,0.0,R_s6-8 | L_4,Frontopariet | Somatomotor,
30257,0.0,R_s6-8 | L_3b,Frontopariet | Somatomotor,
30258,0.0,R_s6-8 | L_FEF,Frontopariet | Cingulo-Oper,
30259,0.0,R_s6-8 | L_PEF,Frontopariet | Cingulo-Oper,
30260,0.0,R_s6-8 | L_55b,Frontopariet | Default,
30261,0.0,R_s6-8 | L_V3A,Frontopariet | Visual2,
30262,0.0,R_s6-8 | L_RSC,Frontopariet | Frontopariet,
30263,0.0008421052631578885,R_s6-8 | L_POS2,Frontopariet | Frontopariet,
30264,0.0,R_s6-8 | L_V7,Frontopariet | Visual2,
30265,0.0,R_s6-8 | L_IPS1,Frontopariet | Visual2,
30266,0.0,R_s6-8 | L_FFC,Frontopariet | Visual2,
30267,0.0,R_s6-8 | L_V3B,Frontopariet | Visual2,
30268,0.0,R_s6-8 | L_LO1,Frontopariet | Visual2,
30269,0.0,R_s6-8 | L_LO2,Frontopariet | Visual2,
30270,0.0,R_s6-8 | L_PIT,Frontopariet | Visual2,
30271,0.0,R_s6-8 | L_MT,Frontopariet | Visual2,
30272,0.0,R_s6-8 | L_A1,Frontopariet | Auditory,
30273,0.0,R_s6-8 | L_PSL,Frontopariet | Cingulo-Oper,
30274,0.0,R_s6-8 | L_SFL,Frontopariet | Default,
30275,0.0,R_s6-8 | L_PCV,Frontopariet | Dorsal-atten,
30276,0.0,R_s6-8 | L_STV,Frontopariet | Dorsal-atten,
30277,0.0,R_s6-8 | L_7Pm,Frontopariet | Frontopariet,
30278,0.0,R_s6-8 | L_7m,Frontopariet | Posterior-Mu,
30279,0.0,R_s6-8 | L_POS1,Frontopariet | Posterior-Mu,
30280,0.0,R_s6-8 | L_23d,Frontopariet | Posterior-Mu,
30281,0.0,R_s6-8 | L_v23ab,Frontopariet | Posterior-Mu,
30282,0.0,R_s6-8 | L_d23ab,Frontopariet | Posterior-Mu,
30283,0.0,R_s6-8 | L_31pv,Frontopariet | Posterior-Mu,
30284,0.0,R_s6-8 | L_5m,Frontopariet | Somatomotor,
30285,0.0,R_s6-8 | L_5mv,Frontopariet | Cingulo-Oper,
30286,0.0,R_s6-8 | L_23c,Frontopariet | Cingulo-Oper,
30287,0.0,R_s6-8 | L_5L,Frontopariet | Somatomotor,
30288,0.0,R_s6-8 | L_24dd,Frontopariet | Somatomotor,
30289,0.0,R_s6-8 | L_24dv,Frontopariet | Somatomotor,
30290,0.0,R_s6-8 | L_7AL,Frontopariet | Somatomotor,
30291,0.0,R_s6-8 | L_SCEF,Frontopariet | Cingulo-Oper,
30292,0.0,R_s6-8 | L_6ma,Frontopariet | Cingulo-Oper,
30293,0.0,R_s6-8 | L_7Am,Frontopariet | Cingulo-Oper,
30294,0.0,R_s6-8 | L_7PL,Frontopariet | Language,
30295,0.0,R_s6-8 | L_7PC,Frontopariet | Somatomotor,
30296,0.0,R_s6-8 | L_LIPv,Frontopariet | Visual2,
30297,0.0,R_s6-8 | L_VIP,Frontopariet | Visual2,
30298,0.0,R_s6-8 | L_MIP,Frontopariet | Language,
30299,0.0,R_s6-8 | L_1,Frontopariet | Somatomotor,
30300,0.0,R_s6-8 | L_2,Frontopariet | Somatomotor,
30301,0.0,R_s6-8 | L_3a,Frontopariet | Somatomotor,
30302,0.0,R_s6-8 | L_6d,Frontopariet | Somatomotor,
30303,0.0,R_s6-8 | L_6mp,Frontopariet | Somatomotor,
30304,0.0,R_s6-8 | L_6v,Frontopariet | Somatomotor,
30305,0.0,R_s6-8 | L_p24pr,Frontopariet | Cingulo-Oper,
30306,0.0,R_s6-8 | L_33pr,Frontopariet | Frontopariet,
30307,0.0,R_s6-8 | L_a24pr,Frontopariet | Cingulo-Oper,
30308,0.0,R_s6-8 | L_p32pr,Frontopariet | Cingulo-Oper,
30309,0.0,R_s6-8 | L_a24,Frontopariet | Posterior-Mu,
30310,0.0,R_s6-8 | L_d32,Frontopariet | Frontopariet,
30311,0.0,R_s6-8 | L_8BM,Frontopariet | Frontopariet,
30312,0.0,R_s6-8 | L_p32,Frontopariet | Posterior-Mu,
30313,0.0,R_s6-8 | L_10r,Frontopariet | Posterior-Mu,
30314,0.0,R_s6-8 | L_47m,Frontopariet | Posterior-Mu,
30315,0.0,R_s6-8 | L_8Av,Frontopariet | Posterior-Mu,
30316,0.0,R_s6-8 | L_8Ad,Frontopariet | Posterior-Mu,
30317,0.0,R_s6-8 | L_9m,Frontopariet | Posterior-Mu,
30318,0.0,R_s6-8 | L_8BL,Frontopariet | Posterior-Mu,
30319,0.0,R_s6-8 | L_9p,Frontopariet | Posterior-Mu,
30320,0.0,R_s6-8 | L_10d,Frontopariet | Posterior-Mu,
30321,0.0,R_s6-8 | L_8C,Frontopariet | Frontopariet,
30322,0.0,R_s6-8 | L_44,Frontopariet | Frontopariet,
30323,0.0,R_s6-8 | L_45,Frontopariet | Default,
30324,0.0,R_s6-8 | L_47l,Frontopariet | Posterior-Mu,
30325,0.0,R_s6-8 | L_a47r,Frontopariet | Frontopariet,
30326,0.0,R_s6-8 | L_6r,Frontopariet | Cingulo-Oper,
30327,0.0,R_s6-8 | L_IFJa,Frontopariet | Default,
30328,0.0,R_s6-8 | L_IFJp,Frontopariet | Frontopariet,
30329,0.0,R_s6-8 | L_IFSp,Frontopariet | Frontopariet,
30330,0.0,R_s6-8 | L_IFSa,Frontopariet | Cingulo-Oper,
30331,0.0,R_s6-8 | L_p9-46v,Frontopariet | Frontopariet,
30332,0.0,R_s6-8 | L_46,Frontopariet | Cingulo-Oper,
30333,0.0,R_s6-8 | L_a9-46v,Frontopariet | Frontopariet,
30334,0.0,R_s6-8 | L_9-46d,Frontopariet | Cingulo-Oper,
30335,0.0,R_s6-8 | L_9a,Frontopariet | Posterior-Mu,
30336,0.0,R_s6-8 | L_10v,Frontopariet | Posterior-Mu,
30337,0.0,R_s6-8 | L_a10p,Frontopariet | Frontopariet,
30338,0.0,R_s6-8 | L_10pp,Frontopariet | Posterior-Mu,
30339,0.0,R_s6-8 | L_11l,Frontopariet | Frontopariet,
30340,0.0,R_s6-8 | L_13l,Frontopariet | Frontopariet,
30341,0.0,R_s6-8 | L_OFC,Frontopariet | Frontopariet,
30342,0.0,R_s6-8 | L_47s,Frontopariet | Posterior-Mu,
30343,0.0,R_s6-8 | L_LIPd,Frontopariet | Language,
30344,0.0,R_s6-8 | L_6a,Frontopariet | Language,
30345,0.0,R_s6-8 | L_i6-8,Frontopariet | Frontopariet,
30346,0.0,R_s6-8 | L_s6-8,Frontopariet | Frontopariet,
30347,0.0,R_s6-8 | L_43,Frontopariet | Cingulo-Oper,
30348,0.0,R_s6-8 | L_OP4,Frontopariet | Somatomotor,
30349,0.0,R_s6-8 | L_OP1,Frontopariet | Somatomotor,
30350,0.0,R_s6-8 | L_OP2-3,Frontopariet | Somatomotor,
30351,0.0,R_s6-8 | L_52,Frontopariet | Auditory,
30352,0.0,R_s6-8 | L_RI,Frontopariet | Somatomotor,
30353,0.0,R_s6-8 | L_PFcm,Frontopariet | Cingulo-Oper,
30354,0.0,R_s6-8 | L_PoI2,Frontopariet | Cingulo-Oper,
30355,0.0,R_s6-8 | L_TA2,Frontopariet | Auditory,
30356,0.0,R_s6-8 | L_FOP4,Frontopariet | Cingulo-Oper,
30357,0.0,R_s6-8 | L_MI,Frontopariet | Cingulo-Oper,
30358,0.0,R_s6-8 | L_Pir,Frontopariet | Orbito-Affec,
30359,0.0,R_s6-8 | L_AVI,Frontopariet | Frontopariet,
30360,0.0,R_s6-8 | L_AAIC,Frontopariet | Orbito-Affec,
30361,0.0,R_s6-8 | L_FOP1,Frontopariet | Cingulo-Oper,
30362,0.0,R_s6-8 | L_FOP3,Frontopariet | Cingulo-Oper,
30363,0.0,R_s6-8 | L_FOP2,Frontopariet | Somatomotor,
30364,0.0,R_s6-8 | L_PFt,Frontopariet | Language,
30365,0.0,R_s6-8 | L_AIP,Frontopariet | Language,
30366,0.0,R_s6-8 | L_EC,Frontopariet | Posterior-Mu,
30367,0.0,R_s6-8 | L_PreS,Frontopariet | Posterior-Mu,
30368,0.0,R_s6-8 | L_H,Frontopariet | Posterior-Mu,
30369,0.0,R_s6-8 | L_ProS,Frontopariet | Visual1,
30370,0.0,R_s6-8 | L_PeEc,Frontopariet | Ventral-Mult,
30371,0.0,R_s6-8 | L_STGa,Frontopariet | Default,
30372,0.0,R_s6-8 | L_PBelt,Frontopariet | Auditory,
30373,0.0,R_s6-8 | L_A5,Frontopariet | Default,
30374,0.0,R_s6-8 | L_PHA1,Frontopariet | Posterior-Mu,
30375,0.0,R_s6-8 | L_PHA3,Frontopariet | Language,
30376,0.0,R_s6-8 | L_STSda,Frontopariet | Posterior-Mu,
30377,0.0,R_s6-8 | L_STSdp,Frontopariet | Default,
30378,0.0,R_s6-8 | L_STSvp,Frontopariet | Posterior-Mu,
30379,0.0,R_s6-8 | L_TGd,Frontopariet | Posterior-Mu,
30380,0.0,R_s6-8 | L_TE1a,Frontopariet | Posterior-Mu,
30381,0.0,R_s6-8 | L_TE1p,Frontopariet | Frontopariet,
30382,0.0,R_s6-8 | L_TE2a,Frontopariet | Posterior-Mu,
30383,0.0,R_s6-8 | L_TF,Frontopariet | Ventral-Mult,
30384,0.0,R_s6-8 | L_TE2p,Frontopariet | Language,
30385,0.0,R_s6-8 | L_PHT,Frontopariet | Language,
30386,0.0,R_s6-8 | L_PH,Frontopariet | Visual2,
30387,0.0,R_s6-8 | L_TPOJ1,Frontopariet | Default,
30388,0.0,R_s6-8 | L_TPOJ2,Frontopariet | Dorsal-atten,
30389,0.0,R_s6-8 | L_TPOJ3,Frontopariet | Dorsal-atten,
30390,0.0,R_s6-8 | L_DVT,Frontopariet | Visual1,
30391,0.0,R_s6-8 | L_PGp,Frontopariet | Language,
30392,0.0,R_s6-8 | L_IP2,Frontopariet | Frontopariet,
30393,0.0,R_s6-8 | L_IP1,Frontopariet | Frontopariet,
30394,0.0,R_s6-8 | L_IP0,Frontopariet | Language,
30395,0.0,R_s6-8 | L_PFop,Frontopariet | Cingulo-Oper,
30396,0.0,R_s6-8 | L_PF,Frontopariet | Cingulo-Oper,
30397,-0.0008421052631578885,R_s6-8 | L_PFm,Frontopariet | Frontopariet,
30398,0.0,R_s6-8 | L_PGi,Frontopariet | Posterior-Mu,
30399,0.0,R_s6-8 | L_PGs,Frontopariet | Posterior-Mu,
30400,0.0,R_s6-8 | L_V6A,Frontopariet | Visual2,
30401,0.0,R_s6-8 | L_VMV1,Frontopariet | Visual2,
30402,0.0,R_s6-8 | L_VMV3,Frontopariet | Visual2,
30403,0.0,R_s6-8 | L_PHA2,Frontopariet | Posterior-Mu,
30404,0.0,R_s6-8 | L_V4t,Frontopariet | Visual2,
30405,0.0,R_s6-8 | L_FST,Frontopariet | Visual2,
30406,0.0,R_s6-8 | L_V3CD,Frontopariet | Visual2,
30407,0.0,R_s6-8 | L_LO3,Frontopariet | Visual2,
30408,0.0,R_s6-8 | L_VMV2,Frontopariet | Visual2,
30409,0.0,R_s6-8 | L_31pd,Frontopariet | Posterior-Mu,
30410,0.0,R_s6-8 | L_31a,Frontopariet | Frontopariet,
30411,0.0,R_s6-8 | L_VVC,Frontopariet | Visual2,
30412,0.0,R_s6-8 | L_25,Frontopariet | Posterior-Mu,
30413,0.0,R_s6-8 | L_s32,Frontopariet | Posterior-Mu,
30414,0.0,R_s6-8 | L_pOFC,Frontopariet | Orbito-Affec,
30415,0.0,R_s6-8 | L_PoI1,Frontopariet | Cingulo-Oper,
30416,0.0,R_s6-8 | L_Ig,Frontopariet | Somatomotor,
30417,0.0,R_s6-8 | L_FOP5,Frontopariet | Cingulo-Oper,
30418,0.0,R_s6-8 | L_p10p,Frontopariet | Frontopariet,
30419,0.0,R_s6-8 | L_p47r,Frontopariet | Frontopariet,
30420,0.0,R_s6-8 | L_TGv,Frontopariet | Default,
30421,0.0,R_s6-8 | L_MBelt,Frontopariet | Auditory,
30422,0.0,R_s6-8 | L_LBelt,Frontopariet | Auditory,
30423,0.0,R_s6-8 | L_A4,Frontopariet | Auditory,
30424,0.0,R_s6-8 | L_STSva,Frontopariet | Posterior-Mu,
30425,0.0,R_s6-8 | L_TE1m,Frontopariet | Frontopariet,
30426,0.0,R_s6-8 | L_PI,Frontopariet | Cingulo-Oper,
30427,0.0,R_s6-8 | L_a32pr,Frontopariet | Cingulo-Oper,
30428,0.0,R_s6-8 | L_p24,Frontopariet | Cingulo-Oper,
30429,0.0,R_43 | R_OP4,Cingulo-Oper | Somatomotor,
30430,0.0,R_43 | R_OP1,Cingulo-Oper | Somatomotor,
30431,0.0,R_43 | R_OP2-3,Cingulo-Oper | Somatomotor,
30432,0.0,R_43 | R_52,Cingulo-Oper | Auditory,
30433,0.0,R_43 | R_RI,Cingulo-Oper | Auditory,
30434,0.0,R_43 | R_PFcm,Cingulo-Oper | Cingulo-Oper,
30435,0.0,R_43 | R_PoI2,Cingulo-Oper | Cingulo-Oper,
30436,0.0,R_43 | R_TA2,Cingulo-Oper | Auditory,
30437,0.0,R_43 | R_FOP4,Cingulo-Oper | Cingulo-Oper,
30438,0.0,R_43 | R_MI,Cingulo-Oper | Cingulo-Oper,
30439,0.0,R_43 | R_Pir,Cingulo-Oper | Orbito-Affec,
30440,0.0,R_43 | R_AVI,Cingulo-Oper | Frontopariet,
30441,0.0,R_43 | R_AAIC,Cingulo-Oper | Orbito-Affec,
30442,0.0,R_43 | R_FOP1,Cingulo-Oper | Cingulo-Oper,
30443,0.0,R_43 | R_FOP3,Cingulo-Oper | Cingulo-Oper,
30444,0.0,R_43 | R_FOP2,Cingulo-Oper | Somatomotor,
30445,0.0,R_43 | R_PFt,Cingulo-Oper | Language,
30446,0.0012631578947368328,R_43 | R_AIP,Cingulo-Oper | Language,
30447,0.0,R_43 | R_EC,Cingulo-Oper | Posterior-Mu,
30448,0.0,R_43 | R_PreS,Cingulo-Oper | Posterior-Mu,
30449,0.0,R_43 | R_H,Cingulo-Oper | Posterior-Mu,
30450,0.0,R_43 | R_ProS,Cingulo-Oper | Visual1,
30451,0.0,R_43 | R_PeEc,Cingulo-Oper | Ventral-Mult,
30452,0.0,R_43 | R_STGa,Cingulo-Oper | Default,
30453,0.0,R_43 | R_PBelt,Cingulo-Oper | Auditory,
30454,0.0,R_43 | R_A5,Cingulo-Oper | Default,
30455,0.0,R_43 | R_PHA1,Cingulo-Oper | Posterior-Mu,
30456,0.0,R_43 | R_PHA3,Cingulo-Oper | Language,
30457,0.0,R_43 | R_STSda,Cingulo-Oper | Default,
30458,0.0,R_43 | R_STSdp,Cingulo-Oper | Default,
30459,0.0,R_43 | R_STSvp,Cingulo-Oper | Posterior-Mu,
30460,0.0,R_43 | R_TGd,Cingulo-Oper | Posterior-Mu,
30461,0.0,R_43 | R_TE1a,Cingulo-Oper | Posterior-Mu,
30462,0.0,R_43 | R_TE1p,Cingulo-Oper | Frontopariet,
30463,0.0,R_43 | R_TE2a,Cingulo-Oper | Posterior-Mu,
30464,0.0,R_43 | R_TF,Cingulo-Oper | Ventral-Mult,
30465,0.0,R_43 | R_TE2p,Cingulo-Oper | Language,
30466,0.0,R_43 | R_PHT,Cingulo-Oper | Language,
30467,0.0,R_43 | R_PH,Cingulo-Oper | Visual2,
30468,0.0,R_43 | R_TPOJ1,Cingulo-Oper | Default,
30469,0.0,R_43 | R_TPOJ2,Cingulo-Oper | Dorsal-atten,
30470,0.0,R_43 | R_TPOJ3,Cingulo-Oper | Dorsal-atten,
30471,0.0,R_43 | R_DVT,Cingulo-Oper | Visual1,
30472,0.0,R_43 | R_PGp,Cingulo-Oper | Language,
30473,0.0,R_43 | R_IP2,Cingulo-Oper | Frontopariet,
30474,0.0,R_43 | R_IP1,Cingulo-Oper | Frontopariet,
30475,0.0,R_43 | R_IP0,Cingulo-Oper | Language,
30476,0.0,R_43 | R_PFop,Cingulo-Oper | Cingulo-Oper,
30477,0.0,R_43 | R_PF,Cingulo-Oper | Cingulo-Oper,
30478,0.0,R_43 | R_PFm,Cingulo-Oper | Frontopariet,
30479,0.0,R_43 | R_PGi,Cingulo-Oper | Posterior-Mu,
30480,0.0,R_43 | R_PGs,Cingulo-Oper | Posterior-Mu,
30481,0.0,R_43 | R_V6A,Cingulo-Oper | Visual2,
30482,0.0,R_43 | R_VMV1,Cingulo-Oper | Visual2,
30483,0.0,R_43 | R_VMV3,Cingulo-Oper | Visual2,
30484,0.0,R_43 | R_PHA2,Cingulo-Oper | Posterior-Mu,
30485,0.0,R_43 | R_V4t,Cingulo-Oper | Visual2,
30486,0.0,R_43 | R_FST,Cingulo-Oper | Visual2,
30487,0.0,R_43 | R_V3CD,Cingulo-Oper | Visual2,
30488,0.0,R_43 | R_LO3,Cingulo-Oper | Visual2,
30489,0.0,R_43 | R_VMV2,Cingulo-Oper | Visual2,
30490,0.0,R_43 | R_31pd,Cingulo-Oper | Posterior-Mu,
30491,0.0,R_43 | R_31a,Cingulo-Oper | Posterior-Mu,
30492,0.0,R_43 | R_VVC,Cingulo-Oper | Visual2,
30493,0.0,R_43 | R_25,Cingulo-Oper | Posterior-Mu,
30494,0.0,R_43 | R_s32,Cingulo-Oper | Posterior-Mu,
30495,0.0,R_43 | R_pOFC,Cingulo-Oper | Orbito-Affec,
30496,0.0,R_43 | R_PoI1,Cingulo-Oper | Cingulo-Oper,
30497,0.0,R_43 | R_Ig,Cingulo-Oper | Somatomotor,
30498,0.0,R_43 | R_FOP5,Cingulo-Oper | Cingulo-Oper,
30499,0.0,R_43 | R_p10p,Cingulo-Oper | Frontopariet,
30500,0.0,R_43 | R_p47r,Cingulo-Oper | Frontopariet,
30501,0.0,R_43 | R_TGv,Cingulo-Oper | Default,
30502,0.0,R_43 | R_MBelt,Cingulo-Oper | Auditory,
30503,0.0,R_43 | R_LBelt,Cingulo-Oper | Auditory,
30504,0.0,R_43 | R_A4,Cingulo-Oper | Auditory,
30505,0.0,R_43 | R_STSva,Cingulo-Oper | Posterior-Mu,
30506,0.0,R_43 | R_TE1m,Cingulo-Oper | Posterior-Mu,
30507,0.0,R_43 | R_PI,Cingulo-Oper | Cingulo-Oper,
30508,0.0,R_43 | R_a32pr,Cingulo-Oper | Cingulo-Oper,
30509,0.0,R_43 | R_p24,Cingulo-Oper | Cingulo-Oper,
30510,0.0,R_43 | L_V1,Cingulo-Oper | Visual1,
30511,0.0,R_43 | L_MST,Cingulo-Oper | Visual2,
30512,0.0,R_43 | L_V6,Cingulo-Oper | Visual2,
30513,0.0,R_43 | L_V2,Cingulo-Oper | Visual2,
30514,0.0,R_43 | L_V3,Cingulo-Oper | Visual2,
30515,0.0,R_43 | L_V4,Cingulo-Oper | Visual2,
30516,0.0,R_43 | L_V8,Cingulo-Oper | Visual2,
30517,0.0,R_43 | L_4,Cingulo-Oper | Somatomotor,
30518,0.0,R_43 | L_3b,Cingulo-Oper | Somatomotor,
